transaction_id,account_id,amount,date,merchant_name,merchant_category,mcc,balance_at_txn_time,is_anomaly,monthly_income,suggested_savings_amount,available,days_since_txn,is_income,total_spent_30d,total_income_30d,txn_count_30d,avg_txn_amt_30d,std_txn_amt_30d,net_cash_flow_30d,savings_delta
TXN004592,ACC001,2707.16,2024-06-04,Employer,Income,6012,38950.34,0,4748.03,949.61,11823.91,391,1,0.0,0.0,0,0.0,0.0,0.0,38000.729999999996
TXN003396,ACC001,2964.66,2024-06-09,Employer,Income,6012,28765.12,0,4748.03,949.61,11823.91,386,1,0.0,2707.16,1,2707.16,0.0,2707.16,27815.51
TXN003384,ACC001,-100.83,2024-06-13,Greene-Munoz,Food and Drink,5812,25800.46,0,4748.03,949.61,11823.91,382,0,0.0,5671.82,2,2835.91,182.07999615553598,5671.82,24850.85
TXN004967,ACC001,2756.1,2024-07-03,Freelance,Income,6012,41432.08,0,4748.03,949.61,19976.68,362,1,-100.83,5671.82,3,1856.9966666666667,1700.408922886884,5570.99,40482.47
TXN000336,ACC001,2035.38,2024-07-03,Employer,Income,6012,14500.16,0,4748.03,949.61,19976.68,362,1,-100.83,5671.82,3,1856.9966666666667,1700.408922886884,5570.99,13550.55
TXN000291,ACC001,-125.35,2024-07-24,"Horn, Drake and Cooper",Food and Drink,5812,12538.5,0,4748.03,949.61,8137.19,341,0,0.0,4791.48,2,2395.74,509.62599933676836,4791.48,11588.89
TXN004285,ACC001,-11.13,2024-07-30,Chapman Group,Bills,4900,32082.86,0,4748.03,949.61,8137.19,335,0,-125.35,4791.48,3,1555.3766666666663,1499.4968908381682,4666.129999999999,31133.25
TXN004309,ACC001,-97.06,2024-08-05,Hernandez PLC,Bills,4900,31985.8,0,4748.03,949.61,8137.19,329,0,-136.48,0.0,2,-68.24,80.76573654712745,-136.48,31036.19
TXN000121,ACC001,-93.26,2024-08-13,Stevens-Reeves,Transportation,4121,12663.85,0,4748.03,949.61,8137.19,321,0,-233.54,0.0,3,-77.84666666666666,59.48458820008199,-233.54,11714.24
TXN000558,ACC001,2696.58,2024-08-26,Freelance,Income,6012,18991.43,0,4748.03,949.61,,308,1,-201.45,0.0,3,-67.14999999999999,48.55193405004584,-201.45,18041.82
TXN001779,ACC001,-146.57,2024-08-26,Greene-Munoz,Transfer,4829,20564.69,0,4748.03,949.61,,308,0,-201.45,0.0,3,-67.14999999999999,48.55193405004584,-201.45,19615.079999999998
TXN004642,ACC001,-146.8,2024-08-30,Netflix,Food and Drink,5812,38803.54,0,4748.03,949.61,,304,0,-336.89,2696.58,4,589.9224999999999,1404.648272519376,2359.69,37853.93
TXN003954,ACC001,2506.97,2024-08-30,Freelance,Income,6012,30504.17,0,4748.03,949.61,,304,1,-336.89,2696.58,4,589.9224999999999,1404.648272519376,2359.69,29554.559999999998
TXN003513,ACC001,-166.27,2024-09-02,Chapman Group,Retail,5651,28598.84,0,4748.03,949.61,17847.25,301,0,-483.69,5203.549999999999,6,786.6433333333331,1407.4620385739242,4719.86,27649.23
TXN004451,ACC001,1712.02,2024-10-22,Employer,Income,6012,36243.18,0,4748.03,949.61,11046.01,251,1,0.0,0.0,0,0.0,0.0,0.0,35293.57
TXN004342,ACC001,-5.25,2024-11-12,Gomez PLC,Retail,5651,34608.19,0,4748.03,949.61,11046.01,230,0,0.0,1712.02,1,1712.02,0.0,1712.02,33658.58
TXN001677,ACC001,-71.86,2024-11-20,Byrd Group,Transfer,4829,20711.26,0,4748.03,949.61,,222,0,-5.25,1712.02,2,853.385,1214.2932621282225,1706.77,19761.649999999998
TXN000855,ACC001,-139.59,2024-11-30,Gay Ltd,Transportation,4121,18802.01,0,4748.03,949.61,19412.91,212,0,-77.11,0.0,2,-38.555,47.10038269483593,-77.11,17852.399999999998
TXN002381,ACC001,-67.02,2025-01-04,Davis-Oneill,Transfer,4829,22601.64,0,4748.03,949.61,,177,0,0.0,0.0,0,0.0,0.0,0.0,21652.03
TXN002653,ACC001,-141.5,2025-01-06,Wagner-Hamilton,Transportation,4121,22328.67,0,4748.03,949.61,,175,0,-67.02,0.0,1,-67.02,0.0,-67.02,21379.059999999998
TXN000616,ACC001,-49.83,2025-01-15,"Baker, Nelson and Hunter",Food and Drink,5812,18941.6,0,4748.03,949.61,,166,0,-208.51999999999998,0.0,2,-104.25999999999999,52.66531306277407,-208.51999999999998,17991.989999999998
TXN002923,ACC001,3651.82,2025-01-20,Investment,Income,6012,25980.49,0,4748.03,949.61,15908.48,161,1,-258.34999999999997,0.0,3,-86.11666666666666,48.7273971532785,-258.34999999999997,25030.88
TXN003013,ACC001,-79.2,2025-01-24,"Moore, Harrell and Williams",Transportation,4121,25901.29,0,4748.03,949.61,15908.48,157,0,-258.34999999999997,3651.82,4,848.3675000000001,1869.3917559351582,3393.4700000000003,24951.68
TXN000334,ACC001,-73.72,2025-01-25,Chen-Smith,Transfer,4829,12464.78,0,4748.03,949.61,15908.48,156,0,-337.54999999999995,3651.82,5,662.854,1671.2406907085528,3314.2700000000004,11515.17
TXN002305,ACC001,-77.58,2025-01-28,Walmart,Entertainment,7832,22668.66,0,4748.03,949.61,15908.48,153,0,-411.27,3651.82,6,540.0916666666668,1524.749126885032,3240.55,21719.05
TXN001575,ACC001,2294.55,2025-02-05,Employer,Income,6012,20878.9,0,4748.03,949.61,15908.48,145,1,-421.83,3651.82,6,538.3316666666668,1525.5959246198406,3229.9900000000002,19929.29
TXN003674,ACC001,-145.71,2025-02-06,"Horn, Drake and Cooper",Bills,4900,28302.47,0,4748.03,949.61,15908.48,144,0,-280.33,5946.370000000001,6,944.3400000000001,1629.1279731807444,5666.040000000001,27352.86
