amount,date,month,day,primary_category,rolling_spend_7d,prev_transaction_amt,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,local_time_bucket_Night,local_time_bucket_Morning,local_time_bucket_Afternoon,local_time_bucket_Evening,local_time_bucket_Late Night,is_weekend_False,is_weekend_True
20.55,2023-01-08,1,8,Shops,20.55,0.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True
236.52,2023-01-12,1,12,Shops,128.535,20.55,False,False,False,False,True,False,False,False,False,False,True,False,True,False
112.85,2023-01-14,1,14,Travel,123.30666666666667,236.52,False,False,True,False,False,False,False,False,False,True,False,False,False,True
486.49,2023-01-22,1,22,Travel,214.10250000000002,112.85,False,False,False,True,False,False,False,False,True,False,False,False,False,True
455.29,2023-01-23,1,23,Food and Drink,262.34000000000003,486.49,False,True,False,False,False,False,False,False,True,False,False,False,True,False
94.17,2023-02-04,2,4,Travel,234.3116666666667,455.29,False,False,True,False,False,False,False,False,False,False,True,False,False,True
132.13,2023-02-18,2,18,Shops,219.71428571428572,94.17,False,False,True,False,False,False,False,True,False,False,False,False,False,True
41.81,2023-02-24,2,24,Shops,222.7514285714286,132.13,True,False,False,False,False,False,False,False,False,False,True,False,True,False
81.02,2023-02-27,2,27,Health,200.5371428571429,41.81,False,True,False,False,False,False,False,False,False,False,False,True,True,False
47.84,2023-03-05,3,5,Travel,191.25,81.02,False,False,False,True,False,False,False,False,True,False,False,False,False,True
346.72,2023-03-21,3,21,Shops,171.28285714285715,47.84,False,False,False,False,False,True,False,False,True,False,False,False,True,False
192.35,2023-03-31,3,31,Travel,133.72,346.72,True,False,False,False,False,False,False,False,False,False,False,True,True,False
13.57,2023-04-02,4,2,Travel,122.2057142857143,192.35,False,False,False,True,False,False,False,False,False,False,True,False,False,True
405.44,2023-05-03,5,3,Shops,161.25,13.57,False,False,False,False,False,False,True,True,False,False,False,False,True,False
91.62,2023-05-09,5,9,Shops,168.3657142857143,405.44,False,False,False,False,False,True,False,False,True,False,False,False,True,False
217.81,2023-05-13,5,13,Health,187.90714285714287,91.62,False,False,True,False,False,False,False,False,False,False,False,True,False,True
475.24,2023-05-15,5,15,Shops,248.96428571428575,217.81,False,True,False,False,False,False,False,True,False,False,False,False,True,False
336.93,2023-05-21,5,21,Health,247.56571428571428,475.24,False,False,False,True,False,False,False,False,False,False,True,False,False,True
443.79,2023-05-24,5,24,Tech,283.4857142857143,336.93,False,False,False,False,False,False,True,False,False,False,True,False,True,False
178.87,2023-05-25,5,25,Tech,307.1,443.79,False,False,False,False,True,False,False,True,False,False,False,False,True,False
430.92,2023-05-31,5,31,Health,310.74000000000007,178.87,False,False,False,False,False,False,True,False,False,False,False,True,True,False
146.83,2023-06-08,6,8,Tech,318.6271428571429,430.92,False,False,False,False,True,False,False,False,True,False,False,False,True,False
235.21,2023-06-09,6,9,Food and Drink,321.11285714285714,146.83,True,False,False,False,False,False,False,True,False,False,False,False,True,False
13.52,2023-06-22,6,22,Shops,255.15285714285713,235.21,False,False,False,False,True,False,False,True,False,False,False,False,True,False
318.79,2023-06-25,6,25,Travel,252.56142857142854,13.52,False,False,False,True,False,False,False,False,False,False,True,False,False,True
374.61,2023-07-05,7,5,Shops,242.67857142857142,318.79,False,False,False,False,False,False,True,True,False,False,False,False,True,False
219.72,2023-07-15,7,15,Shops,248.51428571428573,374.61,False,False,True,False,False,False,False,False,True,False,False,False,False,True
393.22,2023-07-31,7,31,Travel,243.12857142857143,219.72,False,True,False,False,False,False,False,False,False,False,True,False,True,False
322.66,2023-08-07,8,7,Shops,268.2471428571429,393.22,False,True,False,False,False,False,False,False,True,False,False,False,True,False
383.49,2023-08-11,8,11,Shops,289.43,322.66,True,False,False,False,False,False,False,False,False,True,False,False,True,False
423.98,2023-08-17,8,17,Health,348.06714285714287,383.49,False,False,False,False,True,False,False,False,True,False,False,False,True,False
464.86,2023-08-30,8,30,Food and Drink,368.93428571428575,423.98,False,False,False,False,False,False,True,False,False,True,False,False,True,False
210.7,2023-09-06,9,6,Food and Drink,345.5185714285714,464.86,False,False,False,False,False,False,True,False,False,True,False,False,True,False
216.79,2023-09-12,9,12,Health,345.1,210.7,False,False,False,False,False,True,False,False,False,True,False,False,True,False
285.21,2023-09-22,9,22,Food and Drink,329.67,216.79,True,False,False,False,False,False,False,False,False,False,True,False,True,False
229.49,2023-09-24,9,24,Shops,316.36,285.21,False,False,False,True,False,False,False,False,True,False,False,False,False,True
