transaction_id,account_id,amount,date,merchant_name,category,description,mcc
6002769c-ad28-459b-a39b-93667fdb8088,df505d3f-7f2d-47a2-887a-ff497b378af4,423.52,2024-01-25,Starbucks,"['Food and Drink', 'Coffee Shop']",Starbucks purchase,5814
5a43bfc4-dcb9-4b30-a118-054fcc973074,46520dcd-d7a1-46b8-b5ed-ebd1417065f3,385.14,2024-01-05,Starbucks,"['Food and Drink', 'Coffee Shop']",Starbucks purchase,5814
d686f4a8-9d41-4650-8001-f8528a1cc072,4945bd8e-046f-4968-b7cc-83e9c3fd413b,398.81,2024-01-06,McDonald's,"['Food and Drink', 'Restaurants']",McDonald's purchase,5812
9d16bc58-2ff9-4c99-af14-0878235cba40,cdf4dd84-1e8f-44c1-a4da-4610c66f11ea,414.83,2023-12-14,Apple,"['Tech', 'Electronics']",Apple purchase,5732
60ce6ff6-758c-4ef1-ab07-93d9efefe564,c7f61627-67ac-4dcd-bc33-6fe03f32a1bc,485.56,2023-06-07,McDonald's,"['Food and Drink', 'Restaurants']",McDonald's purchase,5812
540daf5a-5444-48e5-a13f-7a6484afc0e0,8af84224-d363-410c-83db-0931609e1733,13.97,2023-11-23,Uber,"['Travel', 'Ride Sharing']",Uber purchase,4121
54c6aa29-ca7b-4eb6-90d1-c21ea052940e,a1924e45-3660-4f0c-b16d-581c41dff843,39.11,2024-02-29,Amazon,"['Shops', 'Online']",Amazon purchase,5818
232abce8-7ee1-469c-a20c-0c82a58f0254,bc02c997-a45f-4fdb-8151-cc6557ed9e0b,214.4,2024-02-09,Walmart,"['Shops', 'Supermarkets']",Walmart purchase,5411
a5c213cf-5745-400f-b8a9-ff250d481798,289d5a10-d3d9-4cbc-afe0-e7f7e4cfd0c1,321.13,2024-04-20,CVS Pharmacy,"['Health', 'Pharmacy']",CVS Pharmacy purchase,5912
6c194d18-ebe9-4c08-bf9d-c43e71f19e68,faabc156-9e0b-46c9-b6fb-b506aeb83ea3,381.03,2023-01-08,Apple,"['Tech', 'Electronics']",Apple purchase,5732
783d5a7d-8d73-42f1-9933-ea30949acadc,ce5cc0bf-908f-4fde-8184-bfb4ed345013,341.36,2024-04-20,Costco,"['Shops', 'Wholesale Clubs']",Costco purchase,5300
99ae16d7-c0ca-4b9d-a1f1-cd12453efaad,516374d1-d8ef-4b78-b82e-c5fe5e6d561d,198.78,2024-05-03,McDonald's,"['Food and Drink', 'Restaurants']",McDonald's purchase,5812
98641cba-634f-4712-8c48-9081598bd30b,ce5cc0bf-908f-4fde-8184-bfb4ed345013,196.85,2023-10-02,Apple,"['Tech', 'Electronics']",Apple purchase,5732
ad124f7a-e6b7-45c8-91c6-a6ca055aa703,4cd1c5de-202a-4b94-bb7a-5568de406bc8,24.72,2024-02-13,McDonald's,"['Food and Drink', 'Restaurants']",McDonald's purchase,5812
de0ce66c-bba8-43c6-85e3-7cdf3650bd9c,aa078bf4-6506-41ad-99b3-0fd88a8f7820,424.27,2023-12-31,Target,"['Shops', 'Department Stores']",Target purchase,5311
9ccc19ff-1def-4823-a943-fadc27361e7a,26f00f8a-7323-458b-807e-8473803120f4,493.83,2023-03-20,Uber,"['Travel', 'Ride Sharing']",Uber purchase,4121
46ebfe61-b1de-4a92-b6a6-4a55db0e4ce4,a6b82c89-3bf1-4940-a96d-c9ce4d81d470,117.57,2023-12-13,Target,"['Shops', 'Department Stores']",Target purchase,5311
77481b07-98b8-43c5-bc9f-9fbb5f9f60ef,61ad6857-3929-40b9-b9f1-866baa8917e2,15.9,2024-03-02,Apple,"['Tech', 'Electronics']",Apple purchase,5732
79c44750-449d-4adf-b9cb-b4c5515e2320,2f021e8c-ad83-4ba8-8eee-02be9042d5eb,292.72,2024-04-23,CVS Pharmacy,"['Health', 'Pharmacy']",CVS Pharmacy purchase,5912
b94a941e-907a-476e-abd4-eeb5ad44c4b9,e4a7a87d-b687-43b9-b7a9-d9782575b1e1,341.39,2023-01-19,Amazon,"['Shops', 'Online']",Amazon purchase,5818
b20d7fe6-d60f-4e1a-b07a-0838185821c3,d767be57-9841-4010-a059-35fafef2713c,464.66,2023-10-05,Shell,"['Travel', 'Gas Stations']",Shell purchase,5541
ea69cf58-492a-4790-a440-7a93a1ad5ac6,861fa05e-ddb1-43b5-a1af-806c37b6544b,46.9,2023-08-03,Uber,"['Travel', 'Ride Sharing']",Uber purchase,4121
e3aa3f30-ad4f-45fa-aa6f-dc2e0c1b6c1c,6dd5eaa2-1806-495a-9377-6c3934b3a23c,19.71,2023-01-31,Uber,"['Travel', 'Ride Sharing']",Uber purchase,4121
e1bd0c5c-1699-45d1-815b-95ebd8afd50c,8dbebe2a-09c2-4092-ad12-8373309633a8,387.05,2023-09-07,Walmart,"['Shops', 'Supermarkets']",Walmart purchase,5411
adc4abd1-92a5-4236-845f-d3bb37baecbc,e8efbc27-62e1-4896-9c24-a6901b3faea6,352.29,2024-02-03,Starbucks,"['Food and Drink', 'Coffee Shop']",Starbucks purchase,5814
33e5ff27-055e-4b27-91cd-fae92b6d47ed,b2ffa63b-f7b2-41df-bd3d-b1bda10d26c6,385.59,2023-03-19,McDonald's,"['Food and Drink', 'Restaurants']",McDonald's purchase,5812
a01b916c-a18b-4bd0-be75-2495da3cc16c,ed9bd80b-1602-4db4-905a-c98d0286fe2a,93.88,2024-05-04,Costco,"['Shops', 'Wholesale Clubs']",Costco purchase,5300
3f004ace-a4d9-460a-97df-10c3fe08d0bc,4cd1c5de-202a-4b94-bb7a-5568de406bc8,130.12,2024-04-06,Shell,"['Travel', 'Gas Stations']",Shell purchase,5541
5f1add05-5837-4bb8-9735-6dd68310b353,f59fa29b-8ac0-4be3-ac92-7c9dc790f2a4,373.42,2023-06-17,Shell,"['Travel', 'Gas Stations']",Shell purchase,5541
70822a10-127d-42b1-a4b1-d8f07ea09404,23deb3b5-3428-4bfc-9b9d-d877ad5a7945,201.87,2023-04-12,CVS Pharmacy,"['Health', 'Pharmacy']",CVS Pharmacy purchase,5912
ed1fd1e2-03b9-4fb7-9e4b-bd5b195b218e,737cf149-bef4-45be-ab87-0356d4b4b82e,140.77,2023-07-12,Amazon,"['Shops', 'Online']",Amazon purchase,5818
67031ef4-a1ce-43cd-a2fd-99938f2ef523,ec058405-3dd7-4717-8386-12804d2a813b,385.03,2023-08-26,McDonald's,"['Food and Drink', 'Restaurants']",McDonald's purchase,5812
67fb5076-6839-41da-ac11-9fa625f92d08,683f01c4-c6fa-4391-87e7-dd03b37af9b1,186.69,2023-06-06,Costco,"['Shops', 'Wholesale Clubs']",Costco purchase,5300
ba6f2ae2-8294-4d45-ae77-85c2ce1d4b06,09b48c35-87b4-497b-8411-b81af311da0e,475.84,2023-06-15,Uber,"['Travel', 'Ride Sharing']",Uber purchase,4121
713d6042-fbd8-4b5f-95f0-11b6fcaf7cea,516374d1-d8ef-4b78-b82e-c5fe5e6d561d,110.5,2024-01-27,Walmart,"['Shops', 'Supermarkets']",Walmart purchase,5411
48dd30be-c939-4151-8c42-178748281ae9,79edb6e5-15e4-4db9-b1e1-3491a2a0b191,41.17,2023-07-28,CVS Pharmacy,"['Health', 'Pharmacy']",CVS Pharmacy purchase,5912
f4c1c1ce-4bd5-49bf-978e-bcfe3b5b5ea1,61ad6857-3929-40b9-b9f1-866baa8917e2,368.44,2024-05-27,Target,"['Shops', 'Department Stores']",Target purchase,5311
77e54e6d-c805-4fcb-8ec1-f5f453f2209b,bf0e1711-5556-41b8-aa65-d6a27814694b,423.25,2024-05-15,Apple,"['Tech', 'Electronics']",Apple purchase,5732
f4a36cdc-18dd-4bd8-8942-61fb5d027407,46520dcd-d7a1-46b8-b5ed-ebd1417065f3,261.77,2023-08-18,Amazon,"['Shops', 'Online']",Amazon purchase,5818
6432ba6d-82ea-4a59-ae94-16bd2417e5fb,e1eb7912-7d4b-4439-80fc-d0895be9b1a9,460.71,2024-03-15,CVS Pharmacy,"['Health', 'Pharmacy']",CVS Pharmacy purchase,5912
5a193b63-0a96-4000-896a-3ae4697ae6dd,2224a441-775f-403a-b285-fc4921cd6bfb,404.25,2023-02-18,Costco,"['Shops', 'Wholesale Clubs']",Costco purchase,5300
41761ea2-cdeb-4c9f-80a8-b40e4866d6e2,83046015-6383-4828-a356-7b230533adc5,160.98,2023-02-25,CVS Pharmacy,"['Health', 'Pharmacy']",CVS Pharmacy purchase,5912
0e0d03b1-c6d4-4639-8259-018b0a163a19,9f04ae2a-6264-4b26-9130-dc34ed2d59be,400.86,2023-08-10,Target,"['Shops', 'Department Stores']",Target purchase,5311
37144a91-16f9-4f71-97c1-a1ac4eb49406,a6b82c89-3bf1-4940-a96d-c9ce4d81d470,224.35,2023-06-20,Apple,"['Tech', 'Electronics']",Apple purchase,5732
12b1ef0e-e5f0-4c7a-a20d-b05718055047,bf0e1711-5556-41b8-aa65-d6a27814694b,186.14,2023-08-12,Shell,"['Travel', 'Gas Stations']",Shell purchase,5541
bd79e106-5b51-4b1e-acee-d8a3da00484a,a6b82c89-3bf1-4940-a96d-c9ce4d81d470,487.81,2023-06-17,Starbucks,"['Food and Drink', 'Coffee Shop']",Starbucks purchase,5814
f2464d3d-9477-4051-ad6c-0b25e667fcab,83046015-6383-4828-a356-7b230533adc5,277.38,2024-04-16,Starbucks,"['Food and Drink', 'Coffee Shop']",Starbucks purchase,5814
8eb6dc7a-a325-4e85-a1ac-21d142b70858,2f5eca70-c5ec-4526-8c02-81b542b24caa,324.83,2023-03-08,Apple,"['Tech', 'Electronics']",Apple purchase,5732
